case,A_locked,A_over_A_required,amplitude_source,chi2,k_params,dof,chi2_per_dof,AIC,BIC,delta_AIC_vs_best,delta_BIC_vs_best,n_data
locked_DRND_baryon_topological_gain_19_over_2,0.20293591923660131,0.9949686397279942,DRND_baryon_topological_gain_19_over_2,37.70272991062756,0,9,4.189192212291951,37.70272991062756,37.70272991062756,0.0,0.0,9
diagnostic_best_free_amplitude_same_geometry,0.2039621261752332,1.0,fit diagnostic only,37.70083257968589,1,8,4.712604072460736,39.70083257968589,39.89805715702211,1.9981026690583263,2.195327246394548,9
locked_total_matter_physical_z,0.13732505813003099,0.6732870494399962,total_matter_physical_z,45.70110833107642,0,9,5.0779009256751575,45.70110833107642,45.70110833107642,7.998378420448859,7.998378420448859,9
locked_total_matter_comoving,0.087424037505,0.4286287809624518,total_matter_comoving,62.16942448206155,0,9,6.907713831340172,62.16942448206155,62.16942448206155,24.46669457143399,24.46669457143399,9
locked_baryon_physical_z,0.02136167570911593,0.1047335410239994,baryon_physical_z,97.77349562799829,0,9,10.863721736444255,97.77349562799829,97.77349562799829,60.070765717370726,60.070765717370726,9
locked_baryon_comoving,0.013599294723,0.06667558814971473,baryon_comoving,102.98945533761656,0,9,11.44327281529073,102.98945533761656,102.98945533761656,65.286725426989,65.286725426989,9
null_zero,0.0,0.0,,112.65093951314361,0,9,12.516771057015957,112.65093951314361,112.65093951314361,74.94820960251604,74.94820960251604,9
