void_id,void_index,redshift,radius_hmpc_assumed,center_dist_hmpc,x_over_Rv,valid_shell_samples,center_delta_gstar,shell_delta_mean,shell_delta_median,shell_delta_p84,monopole_outflow_kms,raw_mean_outflow_kms,dipole_rms_kms,quadrupole_rms_kms,residual_rms_kms,outer_delta_2p5R,void_class,low_quadrupole_shear
701.0,0,0.03606,5.81,107.30822028586698,0.8,256,0.011239310705839337,-0.039191747674135094,-0.07844515460898685,0.2915066885534749,1.2641052838904865,1.2715806672814027,18.198886349534934,50.01293990602692,10.665006005946442,0.034115150365506164,void_in_cloud_or_compensated,False
701.0,0,0.03606,5.81,107.30822028586698,1.0,256,0.011239310705839337,-0.06170093410794576,-0.10586021887423608,0.2738047489717178,2.8965734436046806,2.904862017024727,25.743230274427678,61.50177139220238,16.28303544896332,0.034115150365506164,void_in_cloud_or_compensated,False
701.0,0,0.03606,5.81,107.30822028586698,1.25,256,0.011239310705839337,-0.08586512749019766,-0.1319538948105159,0.2337963785100039,5.677374258497782,5.686641451427817,34.58166696156971,75.26234429333797,24.672380375613642,0.034115150365506164,void_in_cloud_or_compensated,False
701.0,0,0.03606,5.81,107.30822028586698,1.5507603954646239,256,0.011239310705839337,-0.09891373817134866,-0.1745301694648255,0.23776939780214898,9.536902232562195,9.54743340875665,43.54772453957658,91.04873880033092,36.404303005883115,0.034115150365506164,void_in_cloud_or_compensated,False
701.0,0,0.03606,5.81,107.30822028586698,2.0,256,0.011239310705839337,-0.06510281301965677,-0.17085022468240435,0.3316093517736791,13.394556353891046,13.40652164792562,55.26411982797343,112.43155221955692,55.683008618523466,0.034115150365506164,void_in_cloud_or_compensated,False
701.0,0,0.03606,5.81,107.30822028586698,2.5,256,0.011239310705839337,0.034115150365506164,-0.11671736603515478,0.5430878401572746,10.215773585068094,10.22640040544715,74.01493667483172,129.9089962588094,76.4944542958916,0.034115150365506164,void_in_cloud_or_compensated,False
19380.0,1,0.04614,5.17,137.0163282115194,0.8,256,-0.00018230471153343232,0.015622995825820718,-0.1384201081164311,0.6175377523434642,-0.8459148027133092,-0.8329029559543333,26.143279917000086,39.167337857848565,11.275213494009245,-0.17398912003086425,void_in_void,False
19380.0,1,0.04614,5.17,137.0163282115194,1.0,256,-0.00018230471153343232,0.006994810218855452,-0.19176758784465647,0.730785700872602,-0.9401805282960921,-0.9257265007369995,39.81713676768277,44.5116784821258,15.604363499036392,-0.17398912003086425,void_in_void,False
19380.0,1,0.04614,5.17,137.0163282115194,1.25,256,-0.00018230471153343232,-0.010557357636231945,-0.25259779930065174,0.7270965291522079,-0.47796566563984744,-0.4628362598145195,59.28368912465811,48.30376024047929,20.087411695790585,-0.17398912003086425,void_in_void,False
19380.0,1,0.04614,5.17,137.0163282115194,1.5507603954646239,256,-0.00018230471153343232,-0.0349648941183171,-0.3206318482348575,0.5865167186915431,0.9430575906423906,0.9572823320312551,83.45539652545266,48.342507725933054,23.54112620476272,-0.17398912003086425,void_in_void,False
