test,n,mean,bic_null_fixed_0p5,bic_alt_free_mean,delta_bic_null_minus_alt,log10_bayes_proxy,bic_null_fixed_0,bic_drnd_locked,bic_null,delta_bic_null_minus_drnd,bic_free,delta_bic_free_minus_locked
orient_score_gt_0p8,8457,0.5454582259659929,-23315.743061893903,-23586.564127268866,270.8210653749629,58.8080471377531,,,,,,
carrick_void_in_void_l0_x_1.551,111,9.073131226662637,,869.3129766750326,-0.9880021376782224,-0.21454193825113443,868.3249745373544,,,,,
carrick_void_in_void_l0_x_2.000,111,18.118100254931207,,858.8604790629599,10.744635833040547,2.333168026174729,869.6051148960005,,,,,
carrick_void_in_void_l0_x_2.500,111,30.063830594505237,,840.9033185737361,39.07194393475595,8.484364824048868,879.975262508492,,,,,
void_lensing_locked_vs_null,9,,,,,16.274796929450513,,37.70272991062756,112.6509395131436,74.94820960251604,,
void_lensing_locked_vs_free_same_geometry,9,,,,,0.47670925454050633,,37.70272991062756,,,39.89805715702211,2.195327246394548
